"northing","easting"
126426.333104167,596905.803637113
147531.995743811,601431.950750761
152516.228416935,602957.165271603
154357.84816388,595442.181376088
155338.026965074,592537.353756633
151881.83992859,591738.718680665
149256.500512362,592652.233491
154914.835266713,600966.799367722
146753.632003237,600598.411486
148062.402265705,595334.407290816
151575.587036926,601070.777369849
144729.143869933,591596.479521058
147038.521185704,595352.553935908
148650.321416631,604574.575913679
156996.836841665,606121.162102725
156097.981629018,608354.400162466
155292.860821132,605000.453727189
156525.770019423,604423.839351404
151983.866815597,607350.846431892
146608.699170463,609720.871153139
148588.546849228,608648.905316368
148467.454037629,609294.520169124
154889.181399904,611655.336523242
149469.836064801,609964.174242038
141908.643380534,591807.537956107
136905.17198937,593179.494517483
145263.345603179,600050.737964269
138862.713690829,598292.389824614
143877.948507402,595526.823327906
146215.123001583,600890.026087537
142560.105112381,612366.819014587
147912.488805428,612195.749415644
146068.708404355,609792.186340868
146143.573085692,614856.080200989
130814.904643297,604182.752120402
129684.037065469,604906.57490598
126078.095062636,602925.08211704
126215.972645208,596503.071862925
133684.040068649,591537.378678098
132828.555669263,596452.989880741
143332.03570902,595017.081963174
142567.249469552,600535.134357978
141760.484270845,598745.920931641
140252.51091899,601371.753118474
140757.776905112,600337.231410313
142267.123769298,601035.234619547
136159.422141779,603261.965090483
140873.506125044,598774.846188303
141471.236510854,603413.073420748
138325.538834721,600133.276910763
134023.410823941,603473.435476515
124140.332161095,599779.240630791
123377.922616359,606089.529890772
125888.123172801,599597.809148766
120132.114544697,606348.775070719
114088.002312705,602857.062684335
124901.288777497,605802.270576917
122910.076579172,601487.015593238
118500.016558357,601691.117659025
137537.256318528,602526.396988239
135804.39436527,603749.310298972
143946.918838043,603974.201070163
142813.436088711,607759.051674977
139277.541024696,607764.968422607
137980.758652668,605676.542220507
142596.075728722,605105.139687937
140111.277179047,606351.619278453
140619.875306822,609230.232906714
154419.692140911,601575.687344037
155708.75628395,603474.059194792
125886.492910068,608672.502645794
120886.452092212,598341.936011426
128311.575552635,595725.575337745
137454.064581729,603882.647201009
134573.610333819,599071.754146088
134157.470745165,605811.865602322
135766.257066522,604545.808656104
130065.397944394,601388.561494686
129190.200456046,597989.916775543
130898.924815971,600449.372725673
136820.429806877,602214.242324512
139367.611834928,600392.824369203
139316.013186034,605375.421538707
131845.048759032,602348.597749516
133605.815178882,599193.217580073
136170.549895316,605003.864307348
137424.187064264,603990.827094577
145338.644002378,599476.665465068
134133.227996714,601896.040515602
141784.725873452,602006.94879517
142678.06484336,599396.358783823
137723.917885572,594232.472489998
137947.707182541,599994.040477648
142305.876028873,606108.628568668
134381.886953808,602725.882553641
140639.778168257,604790.41484978
137951.681310963,607426.109229866
143976.157000009,610306.551543437
143292.547943793,609893.207828365
127395.301750395,601363.272482809
126917.481172457,597617.085778639
129213.128425069,597800.571444649
125967.475406725,597044.054770369
130620.341674052,602253.120668363
131196.62907647,600449.941185638
128934.613972344,592055.204481538
124084.149850458,596347.217638601
129917.229947913,589060.453328304
129983.406013902,587725.115882978
132418.206505384,589841.226698738
124567.072917894,591307.338965777
129057.955720276,597295.176838525
125061.901053302,589530.031344201
129840.098483115,594181.260246411
133874.607559882,599456.372175612
128475.680909399,600007.361954451
129785.833399314,599576.774547733
130668.797972519,599859.563410562
129877.661624271,602700.751585793
144300.895866957,600500.593118593
148826.222441792,598035.630288776
149420.422437917,603291.194880232
144527.287272867,599513.810944278
125378.221323527,591316.547627561
127316.780339275,584427.901198063
128098.279306479,585734.588886891
125334.940476902,586668.362176418
125076.914412417,585042.490925547
125944.131860603,592416.4924738
131262.570922542,590015.861527063
129990.466081165,586790.00482047
129567.150392383,589242.123927455
128124.771012925,594059.82851753
128834.659424707,593016.15045552
135638.616317417,595764.806654956
140222.545511108,598290.237628296
130848.99048876,595626.429847721
134199.43094952,588446.036564931
134293.916647229,598202.747343574
132856.723899022,594963.680081163
134266.713240817,591413.395774346
136219.236805104,590822.644921113
138661.006462947,595862.700972799
135553.571997397,598363.589149248
136872.878161352,597680.220821034
133449.733385388,599917.76767455
130528.733270522,595269.025612809
133550.558777787,590938.458667845
134449.00923064,596052.935765777
129447.801573388,594371.123251691
133857.435835619,596391.7612385
131633.684192486,594948.57223222
132222.014940344,593986.757328641
136503.044343758,598036.498824582
132908.974658635,596282.307621911
132349.978126865,588713.991670683
135910.629919395,597304.742843043
136303.06418144,599294.283591956
145214.440201223,605228.448621836
151313.696004301,605309.51714281
138721.055537835,601092.688069325
149403.113212157,606083.829747234
143000.409643259,609393.789520953
147357.59193752,604889.075128697
145743.324091397,585772.128950078
150284.416681901,589351.632301975
146068.254287746,585368.084721267
150183.353527747,586089.056970831
145963.220107257,586870.963860732
141377.160840482,590712.392585371
